Time/Iteration, TempCalcIterTime(us), ColorCalcIterTime(us), TempCalcIterBest(us), ColorCalcIterBest(us), TempCalcIterWorst(us), ColorCalcIterWorst(us), TempCalcIterAvg(us), ColorCalcIterAvg(us)
1,415.9,11898.4,415.9,11898.4,415.9,11898.4,207.95,5949.2
2,260.1,11586.7,260.1,11586.7,415.9,11898.4,234.025,8767.95
3,244.4,11705.1,244.4,11586.7,415.9,11898.4,239.2125,10236.525000000001
4,230.4,11698.2,230.4,11586.7,415.9,11898.4,234.80625,10967.362500000001
5,256.7,11926.1,230.4,11586.7,415.9,11926.1,245.753125,11446.73125
6,278.3,11900.9,230.4,11586.7,415.9,11926.1,262.0265625,11673.815625
7,365.3,13465.3,230.4,11586.7,415.9,13465.3,313.66328125,12569.5578125
8,276.6,12382.6,230.4,11586.7,415.9,13465.3,295.13164062500005,12476.07890625
9,266.0,11837.6,230.4,11586.7,415.9,13465.3,280.5658203125,12156.839453125001
10,238.8,11777.8,230.4,11586.7,415.9,13465.3,259.68291015625005,11967.3197265625
11,248.9,11694.9,230.4,11586.7,415.9,13465.3,254.291455078125,11831.10986328125
12,233.1,11817.7,230.4,11586.7,415.9,13465.3,243.6957275390625,11824.404931640625
13,257.1,13360.2,230.4,11586.7,415.9,13465.3,250.39786376953126,12592.302465820314
14,270.1,12199.0,230.4,11586.7,415.9,13465.3,260.2489318847656,12395.651232910157
15,259.7,11464.8,230.4,11464.8,415.9,13465.3,259.97446594238284,11930.225616455078
16,221.6,11222.6,221.6,11222.6,415.9,13465.3,240.78723297119143,11576.412808227538
17,227.1,13018.2,221.6,11222.6,415.9,13465.3,233.94361648559573,12297.30640411377
18,260.5,11912.5,221.6,11222.6,415.9,13465.3,247.22180824279786,12104.903202056885
19,266.4,11731.4,221.6,11222.6,415.9,13465.3,256.81090412139895,11918.151601028443
20,243.9,11907.4,221.6,11222.6,415.9,13465.3,250.35545206069946,11912.77580051422
21,256.5,11809.6,221.6,11222.6,415.9,13465.3,253.42772603034973,11861.187900257111
22,244.5,11706.2,221.6,11222.6,415.9,13465.3,248.96386301517487,11783.693950128556
23,248.3,11533.9,221.6,11222.6,415.9,13465.3,248.63193150758744,11658.796975064277
24,247.4,11855.3,221.6,11222.6,415.9,13465.3,248.01596575379372,11757.048487532138
25,257.5,11566.0,221.6,11222.6,415.9,13465.3,252.75798287689685,11661.524243766069
26,256.0,11482.4,221.6,11222.6,415.9,13465.3,254.37899143844842,11571.962121883034
27,226.6,11714.3,221.6,11222.6,415.9,13465.3,240.4894957192242,11643.131060941516
28,273.1,12312.6,221.6,11222.6,415.9,13465.3,256.79474785961213,11977.865530470757
