Time/Iteration, TempCalcIterTime(us), ColorCalcIterTime(us), TempCalcIterBest(us), ColorCalcIterBest(us), TempCalcIterWorst(us), ColorCalcIterWorst(us), TempCalcIterAvg(us), ColorCalcIterAvg(us)
1,547.4,11668.0,547.4,11668.0,547.4,11668.0,273.7,5834.0
2,254.6,12013.4,254.6,11668.0,547.4,12013.4,264.15,8923.7
3,391.9,12593.4,254.6,11668.0,547.4,12593.4,328.025,10758.55
4,290.8,11453.0,254.6,11453.0,547.4,12593.4,309.4125,11105.775
5,418.5,11544.9,254.6,11453.0,547.4,12593.4,363.95625,11325.3375
6,280.6,12066.3,254.6,11453.0,547.4,12593.4,322.27812500000005,11695.818749999999
7,292.7,12719.2,254.6,11453.0,547.4,12719.2,307.48906250000005,12207.509375
8,297.9,11983.1,254.6,11453.0,547.4,12719.2,302.69453125,12095.3046875
9,294.2,11937.7,254.6,11453.0,547.4,12719.2,298.447265625,12016.50234375
10,355.5,12348.0,254.6,11453.0,547.4,12719.2,326.9736328125,12182.251171875
11,287.8,12057.6,254.6,11453.0,547.4,12719.2,307.38681640625,12119.9255859375
12,289.6,12383.9,254.6,11453.0,547.4,12719.2,298.493408203125,12251.91279296875
13,347.0,12285.5,254.6,11453.0,547.4,12719.2,322.7467041015625,12268.706396484375
14,342.7,12569.3,254.6,11453.0,547.4,12719.2,332.7233520507813,12419.003198242186
15,284.9,13887.9,254.6,11453.0,547.4,13887.9,308.8116760253906,13153.451599121094
16,302.7,12601.4,254.6,11453.0,547.4,13887.9,305.75583801269534,12877.425799560548
17,287.1,14811.8,254.6,11453.0,547.4,14811.8,296.4279190063477,13844.612899780273
18,274.0,12285.0,254.6,11453.0,547.4,14811.8,285.21395950317384,13064.806449890137
19,336.4,12474.3,254.6,11453.0,547.4,14811.8,310.80697975158694,12769.553224945068
20,289.9,12586.8,254.6,11453.0,547.4,14811.8,300.35348987579346,12678.176612472533
21,290.1,12779.8,254.6,11453.0,547.4,14811.8,295.22674493789674,12728.988306236266
22,287.7,12629.7,254.6,11453.0,547.4,14811.8,291.46337246894836,12679.344153118134
23,292.8,12691.4,254.6,11453.0,547.4,14811.8,292.13168623447416,12685.372076559066
24,317.4,12487.3,254.6,11453.0,547.4,14811.8,304.76584311723707,12586.336038279533
25,276.5,12590.8,254.6,11453.0,547.4,14811.8,290.63292155861853,12588.568019139766
26,279.0,12980.2,254.6,11453.0,547.4,14811.8,284.8164607793093,12784.384009569883
27,287.4,12348.1,254.6,11453.0,547.4,14811.8,286.10823038965464,12566.242004784941
28,283.7,12377.8,254.6,11453.0,547.4,14811.8,284.90411519482734,12472.02100239247
29,349.0,12706.8,254.6,11453.0,547.4,14811.8,316.95205759741367,12589.410501196235
30,297.7,12369.4,254.6,11453.0,547.4,14811.8,307.32602879870683,12479.405250598116
31,292.7,12567.5,254.6,11453.0,547.4,14811.8,300.01301439935344,12523.452625299058
32,293.0,12915.9,254.6,11453.0,547.4,14811.8,296.5065071996767,12719.676312649528
33,293.8,12842.7,254.6,11453.0,547.4,14811.8,295.15325359983837,12781.188156324764
34,298.8,12497.6,254.6,11453.0,547.4,14811.8,296.9766267999192,12639.394078162382
35,301.7,13453.1,254.6,11453.0,547.4,14811.8,299.3383133999596,13046.24703908119
36,285.1,12651.6,254.6,11453.0,547.4,14811.8,292.2191566999798,12848.923519540596
37,290.0,12702.1,254.6,11453.0,547.4,14811.8,291.1095783499899,12775.5117597703
38,308.6,12862.7,254.6,11453.0,547.4,14811.8,299.85478917499495,12819.10587988515
39,305.5,12651.4,254.6,11453.0,547.4,14811.8,302.6773945874975,12735.252939942575
40,278.7,12424.6,254.6,11453.0,547.4,14811.8,290.68869729374876,12579.926469971288
41,288.0,12537.6,254.6,11453.0,547.4,14811.8,289.3443486468744,12558.763234985643
42,290.2,12450.9,254.6,11453.0,547.4,14811.8,289.7721743234372,12504.831617492822
43,305.2,12441.6,254.6,11453.0,547.4,14811.8,297.4860871617186,12473.215808746412
44,283.2,12387.2,254.6,11453.0,547.4,14811.8,290.34304358085933,12430.207904373206
45,294.3,12833.9,254.6,11453.0,547.4,14811.8,292.32152179042964,12632.053952186603
46,285.7,12616.4,254.6,11453.0,547.4,14811.8,289.01076089521484,12624.226976093301
47,301.1,12444.6,254.6,11453.0,547.4,14811.8,295.05538044760743,12534.413488046652
48,393.2,12502.6,254.6,11453.0,547.4,14811.8,344.1276902238037,12518.506744023325
49,332.3,12910.8,254.6,11453.0,547.4,14811.8,338.21384511190183,12714.653372011662
50,280.8,12663.1,254.6,11453.0,547.4,14811.8,309.50692255595095,12688.876686005831
51,315.6,14491.3,254.6,11453.0,547.4,14811.8,312.5534612779755,13590.088343002915
52,292.0,12481.5,254.6,11453.0,547.4,14811.8,302.2767306389877,13035.794171501457
53,303.8,12733.0,254.6,11453.0,547.4,14811.8,303.0383653194939,12884.397085750728
54,284.4,12401.2,254.6,11453.0,547.4,14811.8,293.71918265974693,12642.798542875364
55,347.1,12985.0,254.6,11453.0,547.4,14811.8,320.4095913298735,12813.899271437682
56,283.3,12593.6,254.6,11453.0,547.4,14811.8,301.8547956649368,12703.749635718841
57,293.8,12805.4,254.6,11453.0,547.4,14811.8,297.82739783246836,12754.57481785942
58,399.5,13512.3,254.6,11453.0,547.4,14811.8,348.6636989162342,13133.437408929709
59,353.9,12797.0,254.6,11453.0,547.4,14811.8,351.2818494581171,12965.218704464854
60,296.3,12496.6,254.6,11453.0,547.4,14811.8,323.7909247290586,12730.909352232427
61,290.3,12477.2,254.6,11453.0,547.4,14811.8,307.04546236452927,12604.054676116215
62,291.5,12334.3,254.6,11453.0,547.4,14811.8,299.27273118226464,12469.177338058107
63,392.8,13229.5,254.6,11453.0,547.4,14811.8,346.0363655911323,12849.338669029054
64,290.2,12402.1,254.6,11453.0,547.4,14811.8,318.11818279556616,12625.719334514528
65,295.2,12331.0,254.6,11453.0,547.4,14811.8,306.6590913977831,12478.359667257264
66,285.5,12669.6,254.6,11453.0,547.4,14811.8,296.07954569889154,12573.979833628633
67,296.5,12186.2,254.6,11453.0,547.4,14811.8,296.28977284944574,12380.089916814317
68,323.9,14157.8,254.6,11453.0,547.4,14811.8,310.09488642472286,13268.944958407159
69,359.1,12551.4,254.6,11453.0,547.4,14811.8,334.59744321236144,12910.172479203578
70,289.0,12874.2,254.6,11453.0,547.4,14811.8,311.7987216061807,12892.18623960179
71,296.8,12972.4,254.6,11453.0,547.4,14811.8,304.2993608030904,12932.293119800896
72,292.4,13727.9,254.6,11453.0,547.4,14811.8,298.3496804015452,13330.096559900448
73,297.4,13399.7,254.6,11453.0,547.4,14811.8,297.8748402007726,13364.898279950225
74,305.5,13725.0,254.6,11453.0,547.4,14811.8,301.6874201003863,13544.949139975113
75,303.2,12405.9,254.6,11453.0,547.4,14811.8,302.44371005019315,12975.424569987557
76,278.6,12456.7,254.6,11453.0,547.4,14811.8,290.52185502509656,12716.062284993779
77,291.2,13256.7,254.6,11453.0,547.4,14811.8,290.8609275125483,12986.38114249689
78,292.9,12472.0,254.6,11453.0,547.4,14811.8,291.88046375627414,12729.190571248444
79,380.0,12174.0,254.6,11453.0,547.4,14811.8,335.94023187813707,12451.595285624222
80,284.9,12664.8,254.6,11453.0,547.4,14811.8,310.4201159390685,12558.19764281211
81,280.3,12223.0,254.6,11453.0,547.4,14811.8,295.3600579695343,12390.598821406056
82,281.3,12421.8,254.6,11453.0,547.4,14811.8,288.3300289847672,12406.199410703028
83,298.0,12435.1,254.6,11453.0,547.4,14811.8,293.1650144923836,12420.649705351514
84,305.1,13397.7,254.6,11453.0,547.4,14811.8,299.13250724619184,12909.174852675758
85,315.4,13182.0,254.6,11453.0,547.4,14811.8,307.2662536230959,13045.58742633788
86,303.3,13545.7,254.6,11453.0,547.4,14811.8,305.28312681154796,13295.64371316894
87,307.2,13438.8,254.6,11453.0,547.4,14811.8,306.24156340577395,13367.22185658447
88,474.7,13219.2,254.6,11453.0,547.4,14811.8,390.47078170288694,13293.210928292236
89,386.7,15396.1,254.6,11453.0,547.4,15396.1,388.58539085144344,14344.655464146119
90,339.9,13433.7,254.6,11453.0,547.4,15396.1,364.2426954257217,13889.17773207306
91,325.8,13999.2,254.6,11453.0,547.4,15396.1,345.02134771286086,13944.18886603653
92,310.9,15533.9,254.6,11453.0,547.4,15533.9,327.9606738564304,14739.044433018265
93,304.7,14059.0,254.6,11453.0,547.4,15533.9,316.33033692821516,14399.022216509133
94,337.4,15109.3,254.6,11453.0,547.4,15533.9,326.86516846410757,14754.161108254566
95,334.6,13300.7,254.6,11453.0,547.4,15533.9,330.7325842320538,14027.430554127284
96,311.3,13722.9,254.6,11453.0,547.4,15533.9,321.0162921160269,13875.165277063643
97,414.7,14097.0,254.6,11453.0,547.4,15533.9,367.8581460580134,13986.082638531821
98,313.8,16945.1,254.6,11453.0,547.4,16945.1,340.82907302900674,15465.59131926591
99,297.7,13773.0,254.6,11453.0,547.4,16945.1,319.26453651450333,14619.295659632955
100,339.1,12849.0,254.6,11453.0,547.4,16945.1,329.1822682572517,13734.147829816477
