Time/Iteration, TempCalcIterTime(ns), ColorCalcIterTime(ns), TempCalcIterBest(ns), ColorCalcIterBest(ns), TempCalcIterWorst(ns), ColorCalcIterWorst(ns), TempCalcIterAvg(ns), ColorCalcIterAvg(ns)
68,303700,11577100,267500,11378200,450500,14443200,296778.98963185056,11729010.610909851
69,280300,11562800,267500,11378200,450500,14443200,288539.49481592525,11645905.305454925
70,290800,11629300,267500,11378200,450500,14443200,289669.7474079626,11637602.652727462
71,319000,11729800,267500,11378200,450500,14443200,304334.8737039813,11683701.326363731
72,325300,12029600,267500,11378200,450500,14443200,314817.43685199064,11856650.663181866
73,326600,11782900,267500,11378200,450500,14443200,320708.7184259953,11819775.331590932
74,324000,12018700,267500,11378200,450500,14443200,322354.35921299766,11919237.665795466
75,333700,11611000,267500,11378200,450500,14443200,328027.1796064988,11765118.832897734
76,312000,11503400,267500,11378200,450500,14443200,320013.5898032494,11634259.416448867
77,272700,11603800,267500,11378200,450500,14443200,296356.7949016247,11619029.708224434
78,300200,11967500,267500,11378200,450500,14443200,298278.39745081234,11793264.854112217
79,310400,11673000,267500,11378200,450500,14443200,304339.1987254062,11733132.427056108
80,302200,12361500,267500,11378200,450500,14443200,303269.5993627031,12047316.213528054
81,317700,12183900,267500,11378200,450500,14443200,310484.7996813515,12115608.106764026
82,314100,11869300,267500,11378200,450500,14443200,312292.39984067576,11992454.053382013
83,310400,11592900,267500,11378200,450500,14443200,311346.1999203379,11792677.026691006
84,303000,11612500,267500,11378200,450500,14443200,307173.09996016894,11702588.513345502
85,288500,11846300,267500,11378200,450500,14443200,297836.54998008447,11774444.256672751
86,312600,11804500,267500,11378200,450500,14443200,305218.2749900422,11789472.128336376
87,295600,11769700,267500,11378200,450500,14443200,300409.1374950211,11779586.064168189
88,295300,11705400,267500,11378200,450500,14443200,297854.56874751055,11742493.032084094
89,330000,11657200,267500,11378200,450500,14443200,313927.2843737553,11699846.516042046
90,317200,11697400,267500,11378200,450500,14443200,315563.64218687767,11698623.258021023
91,299400,11934900,267500,11378200,450500,14443200,307481.82109343883,11816761.629010512
92,300500,11803100,267500,11378200,450500,14443200,303990.91054671945,11809930.814505257
93,300600,11830800,267500,11378200,450500,14443200,302295.4552733597,11820365.407252628
94,289900,11687200,267500,11378200,450500,14443200,296097.7276366799,11753782.703626314
95,294700,11347300,267500,11347300,450500,14443200,295398.86381833995,11550541.351813156
96,290000,11635900,267500,11347300,450500,14443200,292699.43190917,11593220.675906578
97,309600,11501300,267500,11347300,450500,14443200,301149.715954585,11547260.337953288
98,325900,12374200,267500,11347300,450500,14443200,313524.8579772925,11960730.168976644
99,335000,13096300,267500,11347300,450500,14443200,324262.42898864625,12528515.084488321
100,330200,12320200,267500,11347300,450500,14443200,327231.2144943231,12424357.54224416
101,295500,12076100,267500,11347300,450500,14443200,311365.60724716156,12250228.77112208
102,281600,12634300,267500,11347300,450500,14443200,296482.8036235808,12442264.38556104
103,318300,13153600,267500,11347300,450500,14443200,307391.4018117904,12797932.19278052
104,316900,15703000,267500,11347300,450500,15703000,312145.7009058952,14250466.09639026
105,310200,15264100,267500,11347300,450500,15703000,311172.8504529476,14757283.048195131
106,308300,17010700,267500,11347300,450500,17010700,309736.42522647383,15883991.524097566
107,303200,15631500,267500,11347300,450500,17010700,306468.2126132369,15757745.762048783
108,327200,17689900,267500,11347300,450500,17689900,316834.1063066184,16723822.88102439
109,335400,15255700,267500,11347300,450500,17689900,326117.0531533092,15989761.440512195
110,311300,16583500,267500,11347300,450500,17689900,318708.52657665464,16286630.720256098
111,317600,18685100,267500,11347300,450500,18685100,318154.2632883273,17485865.36012805
112,326700,16300400,267500,11347300,450500,18685100,322427.13164416363,16893132.680064023
113,464900,14561900,267500,11347300,464900,18685100,393663.5658220818,15727516.340032011
114,333500,13990800,267500,11347300,464900,18685100,363581.78291104094,14859158.170016006
115,285100,14047500,267500,11347300,464900,18685100,324340.89145552047,14453329.085008003
116,286500,14882300,267500,11347300,464900,18685100,305420.4457277602,14667814.542504001
117,332700,15903800,267500,11347300,464900,18685100,319060.2228638801,15285807.271252
118,315100,15252500,267500,11347300,464900,18685100,317080.11143194005,15269153.635626
119,326400,15676100,267500,11347300,464900,18685100,321740.05571597,15472626.817813
120,305100,14742500,267500,11347300,464900,18685100,313420.027857985,15107563.4089065
121,322800,14617000,267500,11347300,464900,18685100,318110.0139289925,14862281.70445325
122,299300,15629700,267500,11347300,464900,18685100,308705.0069644962,15245990.852226626
123,332200,15313200,267500,11347300,464900,18685100,320452.5034822481,15279595.426113313
124,324300,15103400,267500,11347300,464900,18685100,322376.2517411241,15191497.713056657
125,310800,16029700,267500,11347300,464900,18685100,316588.12587056204,15610598.856528329
126,343700,15678200,267500,11347300,464900,18685100,330144.062935281,15644399.428264163
127,295500,14206500,267500,11347300,464900,18685100,312822.03146764054,14925449.714132082
128,286900,14986200,267500,11347300,464900,18685100,299861.01573382027,14955824.85706604
129,303300,15237200,267500,11347300,464900,18685100,301580.50786691013,15096512.428533021
130,306300,15513100,267500,11347300,464900,18685100,303940.2539334551,15304806.21426651
131,362500,14692400,267500,11347300,464900,18685100,333220.12696672755,14998603.107133254
132,335700,13924600,267500,11347300,464900,18685100,334460.0634833638,14461601.553566627
133,343400,14021800,267500,11347300,464900,18685100,338930.03174168186,14241700.776783314
134,413000,15659700,267500,11347300,464900,18685100,375965.0158708409,14950700.388391657
135,299100,15285600,267500,11347300,464900,18685100,337532.5079354205,15118150.19419583
136,313500,15762000,267500,11347300,464900,18685100,325516.25396771025,15440075.097097915
137,311700,15936100,267500,11347300,464900,18685100,318608.12698385515,15688087.548548957
138,299100,14590800,267500,11347300,464900,18685100,308854.0634919276,15139443.77427448
139,285400,14469500,267500,11347300,464900,18685100,297127.0317459638,14804471.88713724
140,319800,17499600,267500,11347300,464900,18685100,308463.51587298186,16152035.94356862
141,322400,16535500,267500,11347300,464900,18685100,315431.75793649093,16343767.97178431
142,517400,14483200,267500,11347300,517400,18685100,416415.87896824547,15413483.985892154
143,328400,16245700,267500,11347300,517400,18685100,372407.93948412273,15829591.992946077
144,299900,15940000,267500,11347300,517400,18685100,336153.96974206134,15884795.996473039
145,347900,15746200,267500,11347300,517400,18685100,342026.98487103067,15815497.998236518
146,322500,16280600,267500,11347300,517400,18685100,332263.49243551533,16048048.99911826
147,323200,15679500,267500,11347300,517400,18685100,327731.7462177577,15863774.49955913
148,334800,15751900,267500,11347300,517400,18685100,331265.87310887885,15807837.249779565
149,298300,15824500,267500,11347300,517400,18685100,314782.9365544394,15816168.624889784
150,324900,15054300,267500,11347300,517400,18685100,319841.4682772197,15435234.312444892
151,327100,14793200,267500,11347300,517400,18685100,323470.73413860984,15114217.156222446
152,309900,14393100,267500,11347300,517400,18685100,316685.3670693049,14753658.578111224
153,302600,14749200,267500,11347300,517400,18685100,309642.68353465246,14751429.289055612
154,340500,14458000,267500,11347300,517400,18685100,325071.34176732623,14604714.644527806
155,336100,17850500,267500,11347300,517400,18685100,330585.6708836631,16227607.322263904
156,321200,15174900,267500,11347300,517400,18685100,325892.83544183156,15701253.661131952
157,313500,15313700,267500,11347300,517400,18685100,319696.41772091575,15507476.830565976
158,313300,15040000,267500,11347300,517400,18685100,316498.2088604579,15273738.415282987
159,304400,15315600,267500,11347300,517400,18685100,310449.10443022894,15294669.207641494
160,307200,14738600,267500,11347300,517400,18685100,308824.55221511447,15016634.603820747
161,319900,14557200,267500,11347300,517400,18685100,314362.27610755723,14786917.301910374
162,313900,14357500,267500,11347300,517400,18685100,314131.1380537786,14572208.650955187
163,301200,14993000,267500,11347300,517400,18685100,307665.5690268893,14782604.325477593
164,300000,16237500,267500,11347300,517400,18685100,303832.78451344464,15510052.162738796
165,326600,15812600,267500,11347300,517400,18685100,315216.3922567223,15661326.081369398
166,335200,15279700,267500,11347300,517400,18685100,325208.19612836116,15470513.0406847
167,311700,14377300,267500,11347300,517400,18685100,318454.0980641806,14923906.52034235
168,315000,14381200,267500,11347300,517400,18685100,316727.0490320903,14652553.260171175
169,323900,14053500,267500,11347300,517400,18685100,320313.5245160451,14353026.630085588
170,331300,14718500,267500,11347300,517400,18685100,325806.76225802256,14535763.315042794
171,309100,15598500,267500,11347300,517400,18685100,317453.3811290113,15067131.657521397
172,301100,16191200,267500,11347300,517400,18685100,309276.69056450564,15629165.828760698
173,317000,16801300,267500,11347300,517400,18685100,313138.3452822528,16215232.91438035
174,316900,13937300,267500,11347300,517400,18685100,315019.17264112644,15076266.457190175
175,300300,16242200,267500,11347300,517400,18685100,307659.5863205632,15659233.228595087
176,311400,16461200,267500,11347300,517400,18685100,309529.7931602816,16060216.614297543
177,324700,16268500,267500,11347300,517400,18685100,317114.8965801408,16164358.307148771
178,308300,15033700,267500,11347300,517400,18685100,312707.4482900704,15599029.153574385
179,302300,15342200,267500,11347300,517400,18685100,307503.7241450352,15470614.576787192
180,318900,14269600,267500,11347300,517400,18685100,313201.86207251763,14870107.288393596
181,313500,14347000,267500,11347300,517400,18685100,313350.9310362588,14608553.644196797
182,316100,14540700,267500,11347300,517400,18685100,314725.4655181294,14574626.822098399
183,327700,15389100,267500,11347300,517400,18685100,321212.7327590647,14981863.411049198
184,318300,15559700,267500,11347300,517400,18685100,319756.3663795324,15270781.7055246
185,294000,14854600,267500,11347300,517400,18685100,306878.1831897662,15062690.8527623
186,298100,16019700,267500,11347300,517400,18685100,302489.0915948831,15541195.42638115
187,328900,16533100,267500,11347300,517400,18685100,315694.54579744156,16037147.713190574
188,306200,17030900,267500,11347300,517400,18685100,310947.2728987208,16534023.856595287
189,299900,17711700,267500,11347300,517400,18685100,305423.6364493604,17122861.928297643
190,310800,15196700,267500,11347300,517400,18685100,308111.8182246802,16159780.964148821
191,318400,14655700,267500,11347300,517400,18685100,313255.9091123401,15407740.48207441
192,322200,15306300,267500,11347300,517400,18685100,317727.95455617004,15357020.241037205
193,330900,14952400,267500,11347300,517400,18685100,324313.977278085,15154710.120518602
194,314300,15611000,267500,11347300,517400,18685100,319306.9886390425,15382855.060259301
195,284800,15238100,267500,11347300,517400,18685100,302053.49431952124,15310477.53012965
196,300600,16380100,267500,11347300,517400,18685100,301326.7471597606,15845288.765064824
197,313100,15053700,267500,11347300,517400,18685100,307213.37357988034,15449494.382532412
198,302300,16008100,267500,11347300,517400,18685100,304756.68678994017,15728797.191266205
199,313000,14863400,267500,11347300,517400,18685100,308878.34339497006,15296098.595633103
200,324400,15877900,267500,11347300,517400,18685100,316639.171697485,15586999.297816552
201,301600,16024100,267500,11347300,517400,18685100,309119.5858487425,15805549.648908276
202,303400,14954900,267500,11347300,517400,18685100,306259.79292437126,15380224.824454138
203,312200,14682200,267500,11347300,517400,18685100,309229.89646218566,15031212.412227068
204,309300,14209700,267500,11347300,517400,18685100,309264.9482310928,14620456.206113534
205,297400,14771000,267500,11347300,517400,18685100,303332.47411554644,14695728.103056766
206,325800,16305700,267500,11347300,517400,18685100,314566.2370577732,15500714.051528383
207,325000,14752500,267500,11347300,517400,18685100,319783.1185288866,15126607.025764192
208,350100,15688800,267500,11347300,517400,18685100,334941.5592644433,15407703.512882095
209,322400,15796900,267500,11347300,517400,18685100,328670.7796322217,15602301.756441047
210,320600,15771300,267500,11347300,517400,18685100,324635.38981611084,15686800.878220525
211,336600,14829400,267500,11347300,517400,18685100,330617.6949080554,15258100.439110262
212,325500,15264500,267500,11347300,517400,18685100,328058.84745402774,15261300.219555132
213,298100,15312500,267500,11347300,517400,18685100,313079.42372701387,15286900.109777566
214,304900,14780700,267500,11347300,517400,18685100,308989.71186350693,15033800.054888783
215,341500,14487800,267500,11347300,517400,18685100,325244.85593175347,14760800.027444392
216,316100,14702400,267500,11347300,517400,18685100,320672.42796587676,14731600.013722196
217,284400,14357200,267500,11347300,517400,18685100,302536.2139829384,14544400.006861098
218,300200,14248900,267500,11347300,517400,18685100,301368.10699146916,14396650.003430549
219,513800,13228800,267500,11347300,517400,18685100,407584.0534957346,13812725.001715275
220,291000,15643400,267500,11347300,517400,18685100,349292.0267478673,14728062.500857636
221,322200,15893800,267500,11347300,517400,18685100,335746.0133739336,15310931.250428818
222,310500,15448800,267500,11347300,517400,18685100,323123.0066869668,15379865.62521441
223,299700,14434000,267500,11347300,517400,18685100,311411.50334348343,14906932.812607205
224,323300,14542200,267500,11347300,517400,18685100,317355.7516717417,14724566.406303603
225,320700,14470700,267500,11347300,517400,18685100,319027.87583587086,14597633.203151802
226,312700,14080300,267500,11347300,517400,18685100,315863.93791793543,14338966.6015759
227,295800,14060500,267500,11347300,517400,18685100,305831.9689589677,14199733.30078795
228,307100,14168800,267500,11347300,517400,18685100,306465.98447948386,14184266.650393974
229,380200,13913500,267500,11347300,517400,18685100,343332.99223974196,14048883.325196987
230,289000,14067400,267500,11347300,517400,18685100,316166.496119871,14058141.662598494
231,307500,14155100,267500,11347300,517400,18685100,311833.2480599355,14106620.831299247
232,304500,14256100,267500,11347300,517400,18685100,308166.62402996776,14181360.415649623
233,305200,13957700,267500,11347300,517400,18685100,306683.31201498385,14069530.207824811
234,301900,14330100,267500,11347300,517400,18685100,304291.6560074919,14199815.103912406
235,311000,14249200,267500,11347300,517400,18685100,307645.828003746,14224507.551956203
236,314200,14113500,267500,11347300,517400,18685100,310922.914001873,14169003.775978101
237,306900,14338000,267500,11347300,517400,18685100,308911.4570009365,14253501.887989052
238,312500,14178600,267500,11347300,517400,18685100,310705.72850046825,14216050.943994526
239,289900,14621800,267500,11347300,517400,18685100,300302.8642502341,14418925.471997263
240,287800,14119600,267500,11347300,517400,18685100,294051.43212511705,14269262.73599863
241,304000,13813300,267500,11347300,517400,18685100,299025.7160625585,14041281.367999315
242,306800,14314100,267500,11347300,517400,18685100,302912.8580312793,14177690.683999658
243,302300,14771700,267500,11347300,517400,18685100,302606.42901563965,14474695.341999829
244,304600,15158000,267500,11347300,517400,18685100,303603.21450781985,14816347.670999914
245,300100,15548300,267500,11347300,517400,18685100,301851.6072539099,15182323.835499957
246,327900,15797500,267500,11347300,517400,18685100,314875.80362695496,15489911.917749979
247,359600,15211100,267500,11347300,517400,18685100,337237.9018134775,15350505.95887499
248,310000,16154100,267500,11347300,517400,18685100,323618.95090673876,15752302.979437495
249,310300,15204600,267500,11347300,517400,18685100,316959.4754533694,15478451.489718746
250,291100,15401600,267500,11347300,517400,18685100,304029.73772668466,15440025.744859373
251,290200,13827000,267500,11347300,517400,18685100,297114.86886334233,14633512.872429688
252,303800,13616500,267500,11347300,517400,18685100,300457.43443167116,14125006.436214844
253,307000,14377000,267500,11347300,517400,18685100,303728.7172158356,14251003.218107421
254,317900,14648600,267500,11347300,517400,18685100,310814.3586079178,14449801.60905371
255,299200,13847200,267500,11347300,517400,18685100,305007.1793039589,14148500.804526854
256,316700,14636700,267500,11347300,517400,18685100,310853.58965197945,14392600.402263427
257,314400,15423800,267500,11347300,517400,18685100,312626.79482598975,14908200.201131713
258,360300,14367800,267500,11347300,517400,18685100,336463.3974129949,14638000.100565856
259,294700,14351300,267500,11347300,517400,18685100,315581.69870649744,14494650.05028293
260,312100,14030100,267500,11347300,517400,18685100,313840.8493532487,14262375.025141465
261,357800,14267700,267500,11347300,517400,18685100,335820.42467662436,14265037.512570731
262,343300,14354300,267500,11347300,517400,18685100,339560.2123383122,14309668.756285366
263,336800,15522700,267500,11347300,517400,18685100,338180.1061691561,14916184.378142683
264,335900,16506900,267500,11347300,517400,18685100,337040.053084578,15711542.189071342
265,498400,15600400,267500,11347300,517400,18685100,417720.026542289,15655971.094535671
266,353900,16804800,267500,11347300,517400,18685100,385810.0132711445,16230385.547267836
267,368500,20147200,267500,11347300,517400,20147200,377155.00663557224,18188792.77363392
268,624600,24532200,267500,11347300,624600,24532200,500877.50331778615,21360496.38681696
269,748000,32875200,267500,11347300,748000,32875200,624438.7516588931,27117848.19340848
270,425700,18299100,267500,11347300,748000,32875200,525069.3758294466,22708474.09670424
271,462200,19018900,267500,11347300,748000,32875200,493634.6879147233,20863687.048352122
272,383700,19398900,267500,11347300,748000,32875200,438667.34395736165,20131293.52417606
273,383200,21926500,267500,11347300,748000,32875200,410933.6719786808,21028896.76208803
274,611900,18280100,267500,11347300,748000,32875200,511416.83598934044,19654498.381044015
275,459600,18810000,267500,11347300,748000,32875200,485508.4179946702,19232249.190522008
276,381900,18891400,267500,11347300,748000,32875200,433704.2089973351,19061824.595261004
277,460300,17562900,267500,11347300,748000,32875200,447002.1044986675,18312362.297630504
278,366700,19723700,267500,11347300,748000,32875200,406851.05224933376,19018031.148815252
279,426000,16644100,267500,11347300,748000,32875200,416425.5261246669,17831065.574407626
280,386100,16311600,267500,11347300,748000,32875200,401262.76306233346,17071332.78720381
281,359000,17040700,267500,11347300,748000,32875200,380131.3815311667,17056016.393601906
282,358000,16693100,267500,11347300,748000,32875200,369065.69076558336,16874558.196800955
283,323700,15717900,267500,11347300,748000,32875200,346382.8453827917,16296229.098400477
284,376100,15989000,267500,11347300,748000,32875200,361241.42269139586,16142614.549200239
285,353700,15399100,267500,11347300,748000,32875200,357470.7113456979,15770857.274600118
286,329100,17040400,267500,11347300,748000,32875200,343285.355672849,16405628.63730006
287,350600,15318500,267500,11347300,748000,32875200,346942.6778364245,15862064.31865003
288,342300,16380800,267500,11347300,748000,32875200,344621.3389182122,16121432.159325015
289,366900,19881300,267500,11347300,748000,32875200,355760.6694591061,18001366.07966251
290,336400,16678700,267500,11347300,748000,32875200,346080.3347295531,17340033.039831255
291,363900,17393600,267500,11347300,748000,32875200,354990.16736477654,17366816.519915625
292,348900,15538500,267500,11347300,748000,32875200,351945.0836823883,16452658.259957813
293,332700,16554300,267500,11347300,748000,32875200,342322.54184119415,16503479.129978906
294,348600,15948900,267500,11347300,748000,32875200,345461.2709205971,16226189.564989453
295,349600,16112400,267500,11347300,748000,32875200,347530.6354602985,16169294.782494728
296,782500,22732000,267500,11347300,782500,32875200,565015.3177301493,19450647.391247362
297,570800,17236700,267500,11347300,782500,32875200,567907.6588650746,18343673.69562368
298,370600,13753400,267500,11347300,782500,32875200,469253.8294325373,16048536.84781184
299,397300,15122200,267500,11347300,782500,32875200,433276.91471626866,15585368.42390592
300,347900,13564000,267500,11347300,782500,32875200,390588.4573581343,14574684.21195296
301,337100,13088400,267500,11347300,782500,32875200,363844.22867906716,13831542.105976481
302,395900,13024800,267500,11347300,782500,32875200,379872.1143395336,13428171.05298824
303,321700,12609600,267500,11347300,782500,32875200,350786.0571697668,13018885.52649412
304,352300,13053300,267500,11347300,782500,32875200,351543.02858488343,13036092.76324706
305,309000,12985200,267500,11347300,782500,32875200,330271.5142924417,13010646.381623529
306,332100,12471400,267500,11347300,782500,32875200,331185.7571462209,12741023.190811764
307,329500,12418700,267500,11347300,782500,32875200,330342.87857311044,12579861.595405882
308,289200,13353400,267500,11347300,782500,32875200,309771.4392865552,12966630.797702942
309,305600,12547000,267500,11347300,782500,32875200,307685.7196432776,12756815.398851471
310,326400,12438500,267500,11347300,782500,32875200,317042.8598216388,12597657.699425735
311,301000,12083300,267500,11347300,782500,32875200,309021.4299108194,12340478.849712867
312,298100,11901800,267500,11347300,782500,32875200,303560.7149554097,12121139.424856434
313,301300,12211500,267500,11347300,782500,32875200,302430.3574777049,12166319.712428216
314,303800,14576800,267500,11347300,782500,32875200,303115.17873885244,13371559.856214108
315,302600,14207000,267500,11347300,782500,32875200,302857.58936942625,13789279.928107053
316,290800,15171800,267500,11347300,782500,32875200,296828.7946847131,14480539.964053527
317,286000,15110800,267500,11347300,782500,32875200,291414.39734235656,14795669.982026763
318,302100,15393400,267500,11347300,782500,32875200,296757.1986711783,15094534.991013382
319,305700,15538100,267500,11347300,782500,32875200,301228.59933558916,15316317.49550669
320,330700,15026900,267500,11347300,782500,32875200,315964.2996677946,15171608.747753344
321,342100,16556300,267500,11347300,782500,32875200,329032.1498338973,15863954.373876672
322,325400,12264200,267500,11347300,782500,32875200,327216.0749169487,14064077.186938336
323,329200,14875000,267500,11347300,782500,32875200,328208.03745847434,14469538.593469169
324,299900,15595900,267500,11347300,782500,32875200,314054.01872923714,15032719.296734584
325,313100,14734600,267500,11347300,782500,32875200,313577.00936461857,14883659.648367293
326,293000,14847300,267500,11347300,782500,32875200,303288.5046823093,14865479.824183647
327,326500,14603700,267500,11347300,782500,32875200,314894.2523411546,14734589.912091823
328,328100,14353400,267500,11347300,782500,32875200,321497.1261705773,14543994.95604591
329,304100,14241600,267500,11347300,782500,32875200,312798.5630852886,14392797.478022955
330,315300,14255500,267500,11347300,782500,32875200,314049.2815426443,14324148.739011478
331,303800,14124600,267500,11347300,782500,32875200,308924.6407713222,14224374.369505739
332,314800,14336500,267500,11347300,782500,32875200,311862.3203856611,14280437.18475287
333,344300,17263700,267500,11347300,782500,32875200,328081.16019283055,15772068.592376435
334,315800,14981000,267500,11347300,782500,32875200,321940.58009641524,15376534.296188217
335,318900,14566400,267500,11347300,782500,32875200,320420.2900482076,14971467.148094108
336,300700,14441500,267500,11347300,782500,32875200,310560.1450241038,14706483.574047055
337,325300,13956000,267500,11347300,782500,32875200,317930.0725120519,14331241.787023528
338,305100,14117400,267500,11347300,782500,32875200,311515.03625602595,14224320.893511765
339,353400,14077400,267500,11347300,782500,32875200,332457.518128013,14150860.446755882
340,330900,14349000,267500,11347300,782500,32875200,331678.7590640065,14249930.223377941
341,315500,13688800,267500,11347300,782500,32875200,323589.37953200325,13969365.111688972
342,303100,14164400,267500,11347300,782500,32875200,313344.68976600165,14066882.555844486
343,322700,13393300,267500,11347300,782500,32875200,318022.3448830008,13730091.277922243
344,359200,15930500,267500,11347300,782500,32875200,338611.1724415004,14830295.638961121
345,329200,14106800,267500,11347300,782500,32875200,333905.58622075024,14468547.81948056
346,317600,15112700,267500,11347300,782500,32875200,325752.7931103751,14790623.90974028
347,312900,12655400,267500,11347300,782500,32875200,319326.39655518753,13723011.95487014
348,334400,14077600,267500,11347300,782500,32875200,326863.19827759376,13900305.977435071
349,318200,14303000,267500,11347300,782500,32875200,322531.5991387969,14101652.988717536
350,333000,13570200,267500,11347300,782500,32875200,327765.79956939846,13835926.494358767
351,306700,13936000,267500,11347300,782500,32875200,317232.8997846992,13885963.247179383
352,298600,15783000,267500,11347300,782500,32875200,307916.4498923496,14834481.62358969
353,327900,14796100,267500,11347300,782500,32875200,317908.22494617477,14815290.811794845
354,311400,15565100,267500,11347300,782500,32875200,314654.1124730874,15190195.405897424
