Time/Iteration, TempCalcIterTime(us), ColorCalcIterTime(us), TempCalcIterBest(us), ColorCalcIterBest(us), TempCalcIterWorst(us), ColorCalcIterWorst(us), TempCalcIterAvg(us), ColorCalcIterAvg(us)
1,427.1,12093.7,427.1,12093.7,427.1,12093.7,213.55,6046.85
2,248.7,12089.8,248.7,12089.8,427.1,12093.7,231.125,9068.325
3,285.9,13264.0,248.7,12089.8,427.1,13264.0,258.5125,11166.1625
4,279.6,11992.7,248.7,11992.7,427.1,13264.0,269.05625,11579.431250000001
5,270.8,11762.6,248.7,11762.6,427.1,13264.0,269.928125,11671.015625
6,232.1,11418.9,232.1,11418.9,427.1,13264.0,251.01406250000002,11544.9578125
7,248.2,12069.9,232.1,11418.9,427.1,13264.0,249.60703125,11807.42890625
8,269.0,11235.7,232.1,11235.7,427.1,13264.0,259.303515625,11521.564453125
9,244.7,11385.6,232.1,11235.7,427.1,13264.0,252.0017578125,11453.5822265625
10,256.8,11475.1,232.1,11235.7,427.1,13264.0,254.40087890625,11464.34111328125
11,231.0,11262.0,231.0,11235.7,427.1,13264.0,242.700439453125,11363.170556640625
12,231.1,11346.1,231.0,11235.7,427.1,13264.0,236.9002197265625,11354.635278320313
13,245.2,11356.8,231.0,11235.7,427.1,13264.0,241.05010986328125,11355.717639160157
14,232.2,11372.4,231.0,11235.7,427.1,13264.0,236.62505493164062,11364.058819580077
15,229.2,11441.6,229.2,11235.7,427.1,13264.0,232.9125274658203,11402.82940979004
16,244.1,11507.6,229.2,11235.7,427.1,13264.0,238.50626373291016,11455.214704895021
17,253.0,11481.3,229.2,11235.7,427.1,13264.0,245.75313186645508,11468.25735244751
18,279.1,11652.6,229.2,11235.7,427.1,13264.0,262.42656593322755,11560.428676223755
19,252.1,11715.9,229.2,11235.7,427.1,13264.0,257.26328296661376,11638.164338111877
20,244.8,11800.3,229.2,11235.7,427.1,13264.0,251.03164148330688,11719.232169055938
21,246.7,11792.8,229.2,11235.7,427.1,13264.0,248.86582074165344,11756.016084527968
22,294.3,11809.6,229.2,11235.7,427.1,13264.0,271.5829103708267,11782.808042263983
23,244.6,11598.2,229.2,11235.7,427.1,13264.0,258.09145518541334,11690.504021131992
