Time/Iteration, TempCalcIterTime(us), ColorCalcIterTime(us), TempCalcIterBest(us), ColorCalcIterBest(us), TempCalcIterWorst(us), ColorCalcIterWorst(us), TempCalcIterAvg(us), ColorCalcIterAvg(us)
1,504.0,14725.7,504.0,14725.7,504.0,14725.7,252.0,7362.85
2,304.6,16429.7,304.6,14725.7,504.0,16429.7,278.3,11896.275000000001
3,297.8,13887.9,297.8,13887.9,504.0,16429.7,288.05,12892.087500000001
4,297.1,15768.0,297.1,13887.9,504.0,16429.7,292.57500000000005,14330.04375
5,448.2,14939.0,297.1,13887.9,504.0,16429.7,370.38750000000005,14634.521875
6,338.7,15783.4,297.1,13887.9,504.0,16429.7,354.54375000000005,15208.9609375
7,362.5,17847.6,297.1,13887.9,504.0,17847.6,358.521875,16528.28046875
8,298.5,16188.1,297.1,13887.9,504.0,17847.6,328.5109375,16358.190234375
9,508.3,17129.1,297.1,13887.9,508.3,17847.6,418.40546875,16743.6451171875
10,300.9,14919.5,297.1,13887.9,508.3,17847.6,359.652734375,15831.57255859375
11,302.8,14782.1,297.1,13887.9,508.3,17847.6,331.22636718750005,15306.836279296876
12,522.0,16675.9,297.1,13887.9,522.0,17847.6,426.61318359375,15991.368139648439
13,498.2,20853.6,297.1,13887.9,522.0,20853.6,462.406591796875,18422.48406982422
14,437.8,14882.3,297.1,13887.9,522.0,20853.6,450.1032958984375,16652.39203491211
15,423.5,13907.2,297.1,13887.9,522.0,20853.6,436.80164794921876,15279.796017456056
16,291.1,14124.3,291.1,13887.9,522.0,20853.6,363.9508239746094,14702.048008728027
17,416.2,14268.2,291.1,13887.9,522.0,20853.6,390.07541198730473,14485.124004364014
18,514.3,14189.0,291.1,13887.9,522.0,20853.6,452.18770599365234,14337.062002182007
19,293.5,16056.1,291.1,13887.9,522.0,20853.6,372.8438529968262,15196.581001091003
20,505.0,15390.4,291.1,13887.9,522.0,20853.6,438.9219264984131,15293.4905005455
21,334.7,14621.5,291.1,13887.9,522.0,20853.6,386.81096324920657,14957.49525027275
22,303.8,14262.0,291.1,13887.9,522.0,20853.6,345.3054816246033,14609.747625136375
23,324.2,15211.5,291.1,13887.9,522.0,20853.6,334.7527408123017,14910.623812568188
24,355.8,14124.1,291.1,13887.9,522.0,20853.6,345.2763704061508,14517.361906284095
25,304.7,14469.5,291.1,13887.9,522.0,20853.6,324.98818520307543,14493.430953142048
26,284.1,13805.7,284.1,13805.7,522.0,20853.6,304.5440926015377,14149.565476571024
27,285.1,14386.8,284.1,13805.7,522.0,20853.6,294.8220463007689,14268.182738285512
28,291.5,14753.4,284.1,13805.7,522.0,20853.6,293.16102315038444,14510.791369142757
29,537.9,14386.9,284.1,13805.7,537.9,20853.6,415.53051157519224,14448.845684571377
30,312.4,14568.5,284.1,13805.7,537.9,20853.6,363.9652557875961,14508.672842285689
31,323.0,14371.0,284.1,13805.7,537.9,20853.6,343.48262789379805,14439.836421142845
32,335.4,14633.7,284.1,13805.7,537.9,20853.6,339.441313946899,14536.768210571423
33,315.3,14408.8,284.1,13805.7,537.9,20853.6,327.3706569734495,14472.784105285711
34,302.5,14581.4,284.1,13805.7,537.9,20853.6,314.93532848672476,14527.092052642856
35,409.5,13609.0,284.1,13609.0,537.9,20853.6,362.2176642433624,14068.046026321428
36,320.8,17302.5,284.1,13609.0,537.9,20853.6,341.50883212168117,15685.273013160713
37,307.5,16051.8,284.1,13609.0,537.9,20853.6,324.5044160608406,15868.536506580356
38,338.7,15585.7,284.1,13609.0,537.9,20853.6,331.6022080304203,15727.118253290178
39,318.6,14415.8,284.1,13609.0,537.9,20853.6,325.1011040152101,15071.459126645088
40,316.9,15105.1,284.1,13609.0,537.9,20853.6,321.00055200760505,15088.279563322543
41,329.8,13999.2,284.1,13609.0,537.9,20853.6,325.40027600380256,14543.739781661272
42,312.0,13976.1,284.1,13609.0,537.9,20853.6,318.7001380019013,14259.919890830635
43,305.7,13908.5,284.1,13609.0,537.9,20853.6,312.20006900095063,14084.209945415318
44,322.9,13905.5,284.1,13609.0,537.9,20853.6,317.5500345004753,13994.854972707659
45,313.1,16433.9,284.1,13609.0,537.9,20853.6,315.3250172502377,15214.377486353831
46,320.7,14537.9,284.1,13609.0,537.9,20853.6,318.0125086251188,14876.138743176914
47,343.5,13642.4,284.1,13609.0,537.9,20853.6,330.7562543125594,14259.269371588456
48,313.6,13672.6,284.1,13609.0,537.9,20853.6,322.17812715627974,13965.93468579423
49,298.8,13550.1,284.1,13550.1,537.9,20853.6,310.48906357813985,13758.017342897114
50,309.5,14008.2,284.1,13550.1,537.9,20853.6,309.9945317890699,13883.108671448557
51,302.0,13967.0,284.1,13550.1,537.9,20853.6,305.99726589453496,13925.054335724279
52,385.7,13682.4,284.1,13550.1,537.9,20853.6,345.84863294726745,13803.72716786214
53,285.9,13933.5,284.1,13550.1,537.9,20853.6,315.8743164736337,13868.61358393107
54,284.8,13432.4,284.1,13432.4,537.9,20853.6,300.3371582368169,13650.506791965534
55,286.2,13513.8,284.1,13432.4,537.9,20853.6,293.2685791184084,13582.153395982767
56,289.8,13240.6,284.1,13240.6,537.9,20853.6,291.53428955920424,13411.376697991383
57,290.8,14243.5,284.1,13240.6,537.9,20853.6,291.16714477960215,13827.438348995693
58,301.6,13664.6,284.1,13240.6,537.9,20853.6,296.3835723898011,13746.019174497847
59,316.5,13914.3,284.1,13240.6,537.9,20853.6,306.44178619490054,13830.159587248923
60,302.4,14964.1,284.1,13240.6,537.9,20853.6,304.4208930974503,14397.129793624463
61,320.1,14378.0,284.1,13240.6,537.9,20853.6,312.26044654872516,14387.564896812231
62,313.1,14374.0,284.1,13240.6,537.9,20853.6,312.68022327436256,14380.782448406117
63,311.0,14423.9,284.1,13240.6,537.9,20853.6,311.8401116371813,14402.341224203057
64,331.1,13786.3,284.1,13240.6,537.9,20853.6,321.47005581859065,14094.320612101528
65,307.9,13857.9,284.1,13240.6,537.9,20853.6,314.6850279092953,13976.110306050763
66,303.0,14327.9,284.1,13240.6,537.9,20853.6,308.84251395464764,14152.00515302538
67,325.9,14142.1,284.1,13240.6,537.9,20853.6,317.3712569773238,14147.052576512691
68,324.2,13955.2,284.1,13240.6,537.9,20853.6,320.7856284886619,14051.126288256346
69,284.3,14180.2,284.1,13240.6,537.9,20853.6,302.542814244331,14115.663144128173
70,312.3,13722.7,284.1,13240.6,537.9,20853.6,307.42140712216553,13919.181572064088
71,300.5,13524.3,284.1,13240.6,537.9,20853.6,303.96070356108277,13721.740786032044
72,429.5,14305.3,284.1,13240.6,537.9,20853.6,366.73035178054135,14013.52039301602
73,340.4,16051.6,284.1,13240.6,537.9,20853.6,353.56517589027067,15032.56019650801
74,307.3,15649.1,284.1,13240.6,537.9,20853.6,330.4325879451353,15340.830098254006
75,305.5,13996.8,284.1,13240.6,537.9,20853.6,317.96629397256766,14668.815049127003
76,317.4,13793.4,284.1,13240.6,537.9,20853.6,317.6831469862838,14231.1075245635
77,282.7,13665.1,282.7,13240.6,537.9,20853.6,300.1915734931419,13948.10376228175
78,304.4,13633.9,282.7,13240.6,537.9,20853.6,302.2957867465709,13791.001881140874
79,287.4,13594.2,282.7,13240.6,537.9,20853.6,294.84789337328544,13692.600940570437
80,310.0,16046.0,282.7,13240.6,537.9,20853.6,302.4239466866427,14869.30047028522
81,309.3,13632.9,282.7,13240.6,537.9,20853.6,305.8619733433213,14251.10023514261
82,289.9,13679.0,282.7,13240.6,537.9,20853.6,297.88098667166065,13965.050117571305
83,274.1,13738.9,274.1,13240.6,537.9,20853.6,285.99049333583037,13851.975058785652
84,306.6,13650.7,274.1,13240.6,537.9,20853.6,296.2952466679152,13751.337529392826
85,300.8,13771.8,274.1,13240.6,537.9,20853.6,298.54762333395763,13761.568764696412
86,289.3,13462.8,274.1,13240.6,537.9,20853.6,293.92381166697885,13612.184382348205
87,294.0,13406.5,274.1,13240.6,537.9,20853.6,293.9619058334894,13509.342191174102
88,292.6,13583.4,274.1,13240.6,537.9,20853.6,293.2809529167447,13546.371095587052
89,290.9,13425.9,274.1,13240.6,537.9,20853.6,292.09047645837234,13486.135547793525
90,281.9,13547.1,274.1,13240.6,537.9,20853.6,286.99523822918616,13516.617773896764
91,303.0,13502.8,274.1,13240.6,537.9,20853.6,294.9976191145931,13509.708886948381
92,313.2,13245.7,274.1,13240.6,537.9,20853.6,304.09880955729653,13377.704443474191
93,289.7,13215.1,274.1,13215.1,537.9,20853.6,296.89940477864826,13296.402221737095
94,304.1,12993.2,274.1,12993.2,537.9,20853.6,300.49970238932417,13144.801110868548
95,292.9,13034.9,274.1,12993.2,537.9,20853.6,296.6998511946621,13089.850555434274
96,288.1,13048.6,274.1,12993.2,537.9,20853.6,292.39992559733105,13069.225277717138
97,293.0,13142.5,274.1,12993.2,537.9,20853.6,292.6999627986655,13105.862638858569
98,282.4,12949.3,274.1,12949.3,537.9,20853.6,287.54998139933275,13027.581319429284
99,303.4,23019.3,274.1,12949.3,537.9,23019.3,295.47499069966636,18023.44065971464
100,446.6,17309.1,274.1,12949.3,537.9,23019.3,371.0374953498332,17666.270329857318
