Time/Iteration, TempCalcIterTime(us), ColorCalcIterTime(us), TempCalcIterBest(us), ColorCalcIterBest(us), TempCalcIterWorst(us), ColorCalcIterWorst(us), TempCalcIterAvg(us), ColorCalcIterAvg(us)
1,499.9,14251.9,499.9,14251.9,499.9,14251.9,249.95,7125.95
2,330.3,13877.8,330.3,13877.8,499.9,14251.9,290.125,10501.875
3,314.8,14304.4,314.8,13877.8,499.9,14304.4,302.4625,12403.1375
4,322.2,13657.5,314.8,13657.5,499.9,14304.4,312.33124999999995,13030.31875
5,309.0,13789.9,309.0,13657.5,499.9,14304.4,310.665625,13410.109375
6,321.7,13784.8,309.0,13657.5,499.9,14304.4,316.18281249999995,13597.4546875
7,309.1,14212.3,309.0,13657.5,499.9,14304.4,312.64140625,13904.877343749999
8,338.4,12941.8,309.0,12941.8,499.9,14304.4,325.52070312499995,13423.338671874999
9,270.5,12955.7,270.5,12941.8,499.9,14304.4,298.0103515625,13189.5193359375
10,294.3,13038.3,270.5,12941.8,499.9,14304.4,296.15517578125,13113.90966796875
11,289.2,13062.5,270.5,12941.8,499.9,14304.4,292.677587890625,13088.204833984375
12,295.7,12824.9,270.5,12824.9,499.9,14304.4,294.18879394531245,12956.552416992188
13,272.1,12852.3,270.5,12824.9,499.9,14304.4,283.14439697265624,12904.426208496094
14,281.4,13451.1,270.5,12824.9,499.9,14304.4,282.2721984863281,13177.763104248046
15,340.9,13094.6,270.5,12824.9,499.9,14304.4,311.586099243164,13136.181552124024
16,275.2,13327.4,270.5,12824.9,499.9,14304.4,293.393049621582,13231.790776062011
17,284.5,13211.8,270.5,12824.9,499.9,14304.4,288.946524810791,13221.795388031005
18,278.3,13074.4,270.5,12824.9,499.9,14304.4,283.6232624053955,13148.097694015501
19,338.6,13752.4,270.5,12824.9,499.9,14304.4,311.11163120269777,13450.248847007751
20,376.2,14738.7,270.5,12824.9,499.9,14738.7,343.6558156013489,14094.474423503876
21,284.6,13826.4,270.5,12824.9,499.9,14738.7,314.12790780067445,13960.437211751938
22,295.6,13267.8,270.5,12824.9,499.9,14738.7,304.86395390033726,13614.118605875969
23,312.6,13164.2,270.5,12824.9,499.9,14738.7,308.73197695016864,13389.159302937984
24,296.7,13511.5,270.5,12824.9,499.9,14738.7,302.7159884750843,13450.329651468992
25,496.7,24689.9,270.5,12824.9,499.9,24689.9,399.70799423754215,19070.114825734498
26,271.5,13889.5,270.5,12824.9,499.9,24689.9,335.6039971187711,16479.80741286725
27,277.0,14057.6,270.5,12824.9,499.9,24689.9,306.30199855938554,15268.703706433625
28,288.5,14178.2,270.5,12824.9,499.9,24689.9,297.40099927969277,14723.451853216813
29,340.7,13685.3,270.5,12824.9,499.9,24689.9,319.0504996398464,14204.375926608405
30,416.1,14176.7,270.5,12824.9,499.9,24689.9,367.5752498199232,14190.537963304203
31,302.7,14571.5,270.5,12824.9,499.9,24689.9,335.1376249099616,14381.018981652102
32,319.1,15678.2,270.5,12824.9,499.9,24689.9,327.1188124549808,15029.609490826051
33,314.5,13846.4,270.5,12824.9,499.9,24689.9,320.8094062274904,14438.004745413025
34,323.0,14879.2,270.5,12824.9,499.9,24689.9,321.9047031137452,14658.602372706513
35,308.6,18766.9,270.5,12824.9,499.9,24689.9,315.2523515568726,16712.751186353256
36,528.9,20468.1,270.5,12824.9,528.9,24689.9,422.0761757784363,18590.425593176627
37,495.5,21381.2,270.5,12824.9,528.9,24689.9,458.78808788921816,19985.812796588314
38,551.3,26299.7,270.5,12824.9,551.3,26299.7,505.04404394460903,23142.756398294157
39,558.3,18348.8,270.5,12824.9,558.3,26299.7,531.6720219723045,20745.778199147077
40,607.9,21330.9,270.5,12824.9,607.9,26299.7,569.7860109861522,21038.33909957354
41,366.8,18483.2,270.5,12824.9,607.9,26299.7,468.29300549307607,19760.769549786768
42,324.5,20489.0,270.5,12824.9,607.9,26299.7,396.39650274653803,20124.884774893384
43,344.1,18132.9,270.5,12824.9,607.9,26299.7,370.248251373269,19128.892387446693
44,353.5,30126.9,270.5,12824.9,607.9,30126.9,361.8741256866345,24627.896193723347
45,369.3,18193.9,270.5,12824.9,607.9,30126.9,365.58706284331726,21410.898096861674
46,364.3,27070.4,270.5,12824.9,607.9,30126.9,364.94353142165863,24240.649048430838
47,597.0,24957.9,270.5,12824.9,607.9,30126.9,480.97176571082935,24599.27452421542
48,525.3,21884.9,270.5,12824.9,607.9,30126.9,503.13588285541465,23242.08726210771
49,369.5,24649.2,270.5,12824.9,607.9,30126.9,436.3179414277073,23945.643631053856
50,590.9,28814.2,270.5,12824.9,607.9,30126.9,513.6089707138536,26379.921815526926
51,353.2,21636.3,270.5,12824.9,607.9,30126.9,433.4044853569268,24008.11090776346
52,554.2,28938.5,270.5,12824.9,607.9,30126.9,493.8022426784634,26473.30545388173
53,631.9,20738.8,270.5,12824.9,631.9,30126.9,562.8511213392317,23606.052726940863
54,785.0,24848.8,270.5,12824.9,785.0,30126.9,673.9255606696158,24227.426363470433
55,429.6,24206.9,270.5,12824.9,785.0,30126.9,551.762780334808,24217.163181735217
56,711.9,36975.8,270.5,12824.9,785.0,36975.8,631.8313901674039,30596.48159086761
57,583.6,30871.6,270.5,12824.9,785.0,36975.8,607.715695083702,30734.040795433804
58,582.6,31218.1,270.5,12824.9,785.0,36975.8,595.157847541851,30976.070397716903
59,658.8,22589.4,270.5,12824.9,785.0,36975.8,626.9789237709255,26782.735198858452
60,414.6,25353.4,270.5,12824.9,785.0,36975.8,520.7894618854627,26068.067599429225
61,602.4,24745.5,270.5,12824.9,785.0,36975.8,561.5947309427313,25406.783799714613
62,532.2,24974.4,270.5,12824.9,785.0,36975.8,546.8973654713657,25190.591899857307
63,747.3,22637.1,270.5,12824.9,785.0,36975.8,647.0986827356828,23913.845949928655
64,578.0,28163.7,270.5,12824.9,785.0,36975.8,612.5493413678414,26038.772974964326
65,647.1,26320.0,270.5,12824.9,785.0,36975.8,629.8246706839207,26179.386487482163
66,712.3,32973.4,270.5,12824.9,785.0,36975.8,671.0623353419603,29576.393243741084
67,577.2,20757.7,270.5,12824.9,785.0,36975.8,624.1311676709802,25167.04662187054
68,382.6,18421.7,270.5,12824.9,785.0,36975.8,503.3655838354901,21794.37331093527
69,377.6,17547.3,270.5,12824.9,785.0,36975.8,440.4827919177451,19670.836655467632
70,370.8,23680.7,270.5,12824.9,785.0,36975.8,405.6413959588725,21675.768327733815
71,683.3,30779.5,270.5,12824.9,785.0,36975.8,544.4706979794362,26227.634163866907
72,383.1,26183.4,270.5,12824.9,785.0,36975.8,463.7853489897181,26205.517081933453
73,385.1,20341.8,270.5,12824.9,785.0,36975.8,424.44267449485903,23273.658540966724
74,374.0,32111.4,270.5,12824.9,785.0,36975.8,399.2213372474295,27692.529270483363
75,590.9,29018.0,270.5,12824.9,785.0,36975.8,495.0606686237147,28355.26463524168
