Time/Iteration, TempCalcIterTime(us), ColorCalcIterTime(us), TempCalcIterBest(us), ColorCalcIterBest(us), TempCalcIterWorst(us), ColorCalcIterWorst(us), TempCalcIterAvg(us), ColorCalcIterAvg(us)
1,450.0,13555.4,450.0,13555.4,450.0,13555.4,225.0,6777.7
2,292.5,13015.8,292.5,13015.8,450.0,13555.4,258.75,9896.75
3,274.4,12702.7,274.4,12702.7,450.0,13555.4,266.575,11299.725
4,259.5,12804.6,259.5,12702.7,450.0,13555.4,263.0375,12052.1625
5,280.4,12686.7,259.5,12686.7,450.0,13555.4,271.71875,12369.431250000001
6,286.8,12980.8,259.5,12686.7,450.0,13555.4,279.259375,12675.115625
7,296.0,13398.2,259.5,12686.7,450.0,13555.4,287.6296875,13036.657812500001
8,296.4,12733.9,259.5,12686.7,450.0,13555.4,292.01484374999995,12885.278906250001
9,261.8,12638.0,259.5,12638.0,450.0,13555.4,276.90742187499995,12761.639453125
10,276.6,12633.0,259.5,12633.0,450.0,13555.4,276.7537109375,12697.3197265625
11,258.2,12647.6,258.2,12633.0,450.0,13555.4,267.47685546875,12672.45986328125
12,245.1,12705.3,245.1,12633.0,450.0,13555.4,256.288427734375,12688.879931640626
13,279.1,13031.1,245.1,12633.0,450.0,13555.4,267.6942138671875,12859.989965820314
14,275.5,12583.6,245.1,12583.6,450.0,13555.4,271.59710693359375,12721.794982910156
15,295.9,12624.4,245.1,12583.6,450.0,13555.4,283.74855346679686,12673.097491455079
16,265.3,12515.9,245.1,12515.9,450.0,13555.4,274.52427673339844,12594.498745727538
17,272.7,12342.0,245.1,12342.0,450.0,13555.4,273.61213836669924,12468.24937286377
18,251.7,12374.7,245.1,12342.0,450.0,13555.4,262.6560691833496,12421.474686431884
19,272.3,14796.8,245.1,12342.0,450.0,14796.8,267.4780345916748,13609.137343215942
20,286.7,12978.9,245.1,12342.0,450.0,14796.8,277.0890172958374,13294.01867160797
21,288.3,12586.4,245.1,12342.0,450.0,14796.8,282.6945086479187,12940.209335803986
22,310.7,12607.0,245.1,12342.0,450.0,14796.8,296.6972543239593,12773.604667901993
23,352.1,12756.8,245.1,12342.0,450.0,14796.8,324.3986271619797,12765.202333950996
24,297.0,12869.6,245.1,12342.0,450.0,14796.8,310.69931358098984,12817.401166975498
25,270.4,13142.1,245.1,12342.0,450.0,14796.8,290.5496567904949,12979.750583487748
26,285.6,12921.3,245.1,12342.0,450.0,14796.8,288.07482839524744,12950.525291743874
27,300.0,12817.6,245.1,12342.0,450.0,14796.8,294.0374141976237,12884.062645871938
28,297.0,13147.3,245.1,12342.0,450.0,14796.8,295.5187070988119,13015.681322935969
29,286.2,12832.5,245.1,12342.0,450.0,14796.8,290.8593535494059,12924.090661467984
30,284.5,12965.4,245.1,12342.0,450.0,14796.8,287.67967677470295,12944.745330733993
31,280.5,13123.3,245.1,12342.0,450.0,14796.8,284.0898383873515,13034.022665366996
32,285.8,12822.8,245.1,12342.0,450.0,14796.8,284.9449191936758,12928.411332683498
33,272.2,13010.7,245.1,12342.0,450.0,14796.8,278.5724595968379,12969.555666341748
34,276.0,12808.8,245.1,12342.0,450.0,14796.8,277.28622979841896,12889.177833170874
35,277.3,12850.2,245.1,12342.0,450.0,14796.8,277.2931148992095,12869.688916585437
36,276.8,12756.3,245.1,12342.0,450.0,14796.8,277.04655744960473,12812.994458292718
37,261.8,12653.1,245.1,12342.0,450.0,14796.8,269.42327872480234,12733.04722914636
38,244.3,12692.0,244.3,12342.0,450.0,14796.8,256.8616393624012,12712.52361457318
39,249.6,12182.1,244.3,12182.1,450.0,14796.8,253.23081968120061,12447.311807286591
40,248.2,12413.1,244.3,12182.1,450.0,14796.8,250.7154098406003,12430.205903643295
41,271.1,12332.8,244.3,12182.1,450.0,14796.8,260.90770492030015,12381.502951821647
42,254.5,13371.8,244.3,12182.1,450.0,14796.8,257.7038524601501,12876.651475910823
43,294.1,13619.9,244.3,12182.1,450.0,14796.8,275.90192623007505,13248.275737955411
44,289.3,13026.7,244.3,12182.1,450.0,14796.8,282.60096311503753,13137.487868977707
45,291.7,12708.1,244.3,12182.1,450.0,14796.8,287.1504815575188,12922.793934488855
46,315.7,12779.8,244.3,12182.1,450.0,14796.8,301.4252407787594,12851.296967244427
47,284.7,12934.7,244.3,12182.1,450.0,14796.8,293.06262038937973,12892.998483622214
48,289.4,13218.1,244.3,12182.1,450.0,14796.8,291.23131019468985,13055.549241811106
49,274.4,13439.3,244.3,12182.1,450.0,14796.8,282.8156550973449,13247.424620905553
50,284.9,13340.9,244.3,12182.1,450.0,14796.8,283.85782754867245,13294.162310452775
51,296.3,14912.5,244.3,12182.1,450.0,14912.5,290.07891377433623,14103.331155226388
52,533.1,14320.9,244.3,12182.1,533.1,14912.5,411.5894568871681,14212.115577613193
53,565.6,14290.7,244.3,12182.1,565.6,14912.5,488.5947284435841,14251.407788806597
54,381.9,14294.4,244.3,12182.1,565.6,14912.5,435.24736422179205,14272.903894403298
55,295.9,16171.9,244.3,12182.1,565.6,16171.9,365.573682110896,15222.401947201648
56,405.3,14656.5,244.3,12182.1,565.6,16171.9,385.436841055448,14939.450973600824
57,300.1,14070.4,244.3,12182.1,565.6,16171.9,342.768420527724,14504.925486800412
58,299.0,14667.1,244.3,12182.1,565.6,16171.9,320.884210263862,14586.012743400206
59,304.2,14634.8,244.3,12182.1,565.6,16171.9,312.54210513193095,14610.406371700103
60,298.5,14441.8,244.3,12182.1,565.6,16171.9,305.5210525659655,14526.10318585005
61,472.0,14443.1,244.3,12182.1,565.6,16171.9,388.7605262829827,14484.601592925024
62,297.9,13729.4,244.3,12182.1,565.6,16171.9,343.33026314149134,14107.000796462511
63,331.3,14058.2,244.3,12182.1,565.6,16171.9,337.3151315707457,14082.600398231256
64,305.7,14617.9,244.3,12182.1,565.6,16171.9,321.50756578537283,14350.250199115628
65,307.6,14355.6,244.3,12182.1,565.6,16171.9,314.5537828926864,14352.925099557815
66,306.4,14092.5,244.3,12182.1,565.6,16171.9,310.4768914463432,14222.712549778907
67,286.3,14054.6,244.3,12182.1,565.6,16171.9,298.38844572317157,14138.656274889454
68,301.4,14189.0,244.3,12182.1,565.6,16171.9,299.8942228615858,14163.828137444727
