Time/Iteration, TempCalcIterTime(us), ColorCalcIterTime(us), TempCalcIterBest(us), ColorCalcIterBest(us), TempCalcIterWorst(us), ColorCalcIterWorst(us), TempCalcIterAvg(us), ColorCalcIterAvg(us)
1,404.1,12701.8,404.1,12701.8,404.1,12701.8,202.05,6350.9
2,313.6,12247.4,313.6,12247.4,404.1,12701.8,257.82500000000005,9299.15
3,305.1,12668.4,305.1,12247.4,404.1,12701.8,281.46250000000003,10983.775
4,414.5,13605.7,305.1,12247.4,414.5,13605.7,347.98125000000005,12294.7375
5,338.3,12293.6,305.1,12247.4,414.5,13605.7,343.140625,12294.16875
6,297.4,13752.1,297.4,12247.4,414.5,13752.1,320.2703125,13023.134375000001
7,312.7,13191.0,297.4,12247.4,414.5,13752.1,316.48515625,13107.0671875
8,283.9,12530.4,283.9,12247.4,414.5,13752.1,300.19257812499995,12818.73359375
9,298.3,12560.7,283.9,12247.4,414.5,13752.1,299.24628906249995,12689.716796875
10,332.3,13766.6,283.9,12247.4,414.5,13766.6,315.77314453124995,13228.1583984375
11,310.8,12529.7,283.9,12247.4,414.5,13766.6,313.28657226562495,12878.92919921875
12,294.9,12505.8,283.9,12247.4,414.5,13766.6,304.09328613281247,12692.364599609375
13,290.8,12606.4,283.9,12247.4,414.5,13766.6,297.44664306640624,12649.382299804687
14,316.1,12642.3,283.9,12247.4,414.5,13766.6,306.7733215332031,12645.841149902342
15,307.5,12505.1,283.9,12247.4,414.5,13766.6,307.13666076660155,12575.47057495117
16,283.2,12670.8,283.2,12247.4,414.5,13766.6,295.16833038330077,12623.135287475585
17,346.5,12435.3,283.2,12247.4,414.5,13766.6,320.8341651916504,12529.217643737793
18,280.2,12455.6,280.2,12247.4,414.5,13766.6,300.5170825958252,12492.408821868896
19,307.4,13493.1,280.2,12247.4,414.5,13766.6,303.9585412979126,12992.754410934449
20,328.2,12563.3,280.2,12247.4,414.5,13766.6,316.07927064895625,12778.027205467224
21,294.2,13354.1,280.2,12247.4,414.5,13766.6,305.13963532447815,13066.063602733611
22,367.4,13283.2,280.2,12247.4,414.5,13766.6,336.26981766223906,13174.631801366806
23,306.0,13126.1,280.2,12247.4,414.5,13766.6,321.13490883111956,13150.365900683402
24,320.5,12818.9,280.2,12247.4,414.5,13766.6,320.8174544155598,12984.6329503417
25,323.3,12809.5,280.2,12247.4,414.5,13766.6,322.0587272077799,12897.06647517085
26,470.6,14235.9,280.2,12247.4,470.6,14235.9,396.32936360389,13566.483237585424
27,309.4,12676.2,280.2,12247.4,470.6,14235.9,352.864681801945,13121.341618792712
28,303.5,13023.3,280.2,12247.4,470.6,14235.9,328.18234090097246,13072.320809396355
29,303.0,13372.1,280.2,12247.4,470.6,14235.9,315.59117045048623,13222.210404698177
30,300.7,12998.8,280.2,12247.4,470.6,14235.9,308.1455852252431,13110.505202349088
31,312.0,12811.3,280.2,12247.4,470.6,14235.9,310.0727926126216,12960.902601174545
32,328.0,12915.9,280.2,12247.4,470.6,14235.9,319.0363963063108,12938.401300587273
33,284.5,12975.5,280.2,12247.4,470.6,14235.9,301.76819815315537,12956.950650293636
34,302.0,12978.2,280.2,12247.4,470.6,14235.9,301.8840990765777,12967.57532514682
35,318.4,12963.5,280.2,12247.4,470.6,14235.9,310.1420495382888,12965.53766257341
36,319.1,12566.5,280.2,12247.4,470.6,14235.9,314.6210247691444,12766.018831286705
37,309.9,13000.3,280.2,12247.4,470.6,14235.9,312.26051238457217,12883.159415643353
38,287.8,12797.4,280.2,12247.4,470.6,14235.9,300.03025619228606,12840.279707821675
39,295.0,12684.6,280.2,12247.4,470.6,14235.9,297.51512809614303,12762.439853910837
40,292.3,12550.7,280.2,12247.4,470.6,14235.9,294.90756404807155,12656.569926955419
41,416.2,12544.9,280.2,12247.4,470.6,14235.9,355.55378202403574,12600.73496347771
42,308.7,13133.1,280.2,12247.4,470.6,14235.9,332.12689101201784,12866.917481738856
43,294.3,13865.1,280.2,12247.4,470.6,14235.9,313.21344550600895,13366.008740869427
44,331.1,13157.3,280.2,12247.4,470.6,14235.9,322.1567227530045,13261.654370434713
45,312.6,14312.6,280.2,12247.4,470.6,14312.6,317.37836137650226,13787.127185217356
46,372.7,14667.5,280.2,12247.4,470.6,14667.5,345.0391806882511,14227.313592608678
47,334.2,14843.0,280.2,12247.4,470.6,14843.0,339.6195903441255,14535.156796304338
48,318.5,14661.7,280.2,12247.4,470.6,14843.0,329.05979517206276,14598.42839815217
49,327.7,13079.9,280.2,12247.4,470.6,14843.0,328.37989758603135,13839.164199076084
50,321.6,13400.6,280.2,12247.4,470.6,14843.0,324.9899487930157,13619.882099538041
51,318.4,15500.1,280.2,12247.4,470.6,15500.1,321.69497439650786,14559.991049769022
52,312.6,13550.0,280.2,12247.4,470.6,15500.1,317.14748719825394,14054.99552488451
53,299.7,12959.3,280.2,12247.4,470.6,15500.1,308.42374359912696,13507.147762442255
54,310.0,13147.3,280.2,12247.4,470.6,15500.1,309.2118717995635,13327.223881221127
55,298.7,12934.2,280.2,12247.4,470.6,15500.1,303.9559358997817,13130.711940610563
56,340.1,12724.3,280.2,12247.4,470.6,15500.1,322.02796794989086,12927.505970305281
57,291.9,13317.6,280.2,12247.4,470.6,15500.1,306.96398397494545,13122.55298515264
58,289.7,12939.2,280.2,12247.4,470.6,15500.1,298.33199198747275,13030.87649257632
59,351.7,13788.3,280.2,12247.4,470.6,15500.1,325.0159959937364,13409.58824628816
60,306.8,13860.0,280.2,12247.4,470.6,15500.1,315.9079979968682,13634.79412314408
61,303.1,13438.5,280.2,12247.4,470.6,15500.1,309.5039989984341,13536.64706157204
62,326.4,13198.9,280.2,12247.4,470.6,15500.1,317.95199949921704,13367.77353078602
63,385.1,14316.7,280.2,12247.4,470.6,15500.1,351.52599974960856,13842.23676539301
64,312.3,13527.7,280.2,12247.4,470.6,15500.1,331.9129998748043,13684.968382696505
65,305.5,12848.2,280.2,12247.4,470.6,15500.1,318.70649993740216,13266.584191348253
66,303.8,13776.2,280.2,12247.4,470.6,15500.1,311.2532499687011,13521.392095674128
67,301.4,13220.7,280.2,12247.4,470.6,15500.1,306.32662498435053,13371.046047837064
68,307.2,13062.6,280.2,12247.4,470.6,15500.1,306.76331249217526,13216.823023918532
69,364.4,12719.7,280.2,12247.4,470.6,15500.1,335.5816562460876,12968.261511959266
70,284.7,13049.5,280.2,12247.4,470.6,15500.1,310.1408281230438,13008.880755979633
71,294.9,13272.3,280.2,12247.4,470.6,15500.1,302.5204140615219,13140.590377989816
72,301.1,14094.3,280.2,12247.4,470.6,15500.1,301.8102070307609,13617.445188994909
73,316.9,12973.0,280.2,12247.4,470.6,15500.1,309.35510351538045,13295.222594497454
74,310.7,13112.2,280.2,12247.4,470.6,15500.1,310.0275517576902,13203.711297248727
75,316.7,13079.1,280.2,12247.4,470.6,15500.1,313.3637758788451,13141.405648624364
76,299.0,13060.5,280.2,12247.4,470.6,15500.1,306.18188793942255,13100.952824312182
77,297.0,13063.9,280.2,12247.4,470.6,15500.1,301.59094396971125,13082.426412156092
78,306.0,13125.9,280.2,12247.4,470.6,15500.1,303.7954719848556,13104.163206078047
79,312.8,14627.3,280.2,12247.4,470.6,15500.1,308.2977359924278,13865.731603039023
80,307.7,12979.4,280.2,12247.4,470.6,15500.1,307.9988679962139,13422.565801519511
81,306.9,13198.3,280.2,12247.4,470.6,15500.1,307.44943399810694,13310.432900759755
82,407.8,15265.0,280.2,12247.4,470.6,15500.1,357.6247169990535,14287.716450379878
83,318.5,15200.8,280.2,12247.4,470.6,15500.1,338.06235849952674,14744.258225189938
84,331.4,17015.9,280.2,12247.4,470.6,17015.9,334.7311792497634,15880.079112594969
85,352.2,13471.3,280.2,12247.4,470.6,17015.9,343.46558962488166,14675.689556297484
86,321.4,15544.4,280.2,12247.4,470.6,17015.9,332.4327948124408,15110.044778148742
87,320.7,13404.6,280.2,12247.4,470.6,17015.9,326.5663974062204,14257.322389074372
88,316.4,14122.3,280.2,12247.4,470.6,17015.9,321.4831987031102,14189.811194537186
89,314.2,13847.7,280.2,12247.4,470.6,17015.9,317.8415993515551,14018.755597268593
90,319.1,13497.2,280.2,12247.4,470.6,17015.9,318.4707996757776,13757.977798634296
91,346.6,14685.5,280.2,12247.4,470.6,17015.9,332.5353998378888,14221.738899317148
92,296.4,12974.1,280.2,12247.4,470.6,17015.9,314.4676999189444,13597.919449658573
93,289.0,13378.1,280.2,12247.4,470.6,17015.9,301.7338499594722,13488.009724829288
94,304.3,13157.2,280.2,12247.4,470.6,17015.9,303.01692497973613,13322.604862414644
95,309.4,12722.8,280.2,12247.4,470.6,17015.9,306.20846248986805,13022.702431207323
96,307.1,13496.9,280.2,12247.4,470.6,17015.9,306.65423124493407,13259.80121560366
97,330.8,13015.7,280.2,12247.4,470.6,17015.9,318.72711562246707,13137.75060780183
98,307.0,13319.2,280.2,12247.4,470.6,17015.9,312.86355781123353,13228.475303900916
99,358.0,14707.1,280.2,12247.4,470.6,17015.9,335.43177890561674,13967.787651950457
100,316.0,13826.0,280.2,12247.4,470.6,17015.9,325.71588945280837,13896.893825975229
