Time/Iteration, TempCalcIterTime(us), ColorCalcIterTime(us), TempCalcIterBest(us), ColorCalcIterBest(us), TempCalcIterWorst(us), ColorCalcIterWorst(us), TempCalcIterAvg(us), ColorCalcIterAvg(us)
1,572.3,16493.5,572.3,16493.5,572.3,16493.5,286.15,8246.75
2,412.7,18948.0,412.7,16493.5,572.3,18948.0,349.42499999999995,13597.375
3,640.8,17960.3,412.7,16493.5,640.8,18948.0,495.11249999999995,15778.8375
4,609.9,18490.4,412.7,16493.5,640.8,18948.0,552.5062499999999,17134.61875
5,392.6,18430.9,392.6,16493.5,640.8,18948.0,472.55312499999997,17782.759375
6,353.0,14955.1,353.0,14955.1,640.8,18948.0,412.77656249999995,16368.9296875
7,341.5,16255.7,341.5,14955.1,640.8,18948.0,377.13828125,16312.31484375
8,342.5,20384.3,341.5,14955.1,640.8,20384.3,359.819140625,18348.307421875
9,605.6,18916.2,341.5,14955.1,640.8,20384.3,482.7095703125,18632.2537109375
10,365.2,16974.3,341.5,14955.1,640.8,20384.3,423.95478515624995,17803.27685546875
11,336.5,14945.8,336.5,14945.8,640.8,20384.3,380.227392578125,16374.538427734375
12,333.3,15441.0,333.3,14945.8,640.8,20384.3,356.7636962890625,15907.769213867188
13,329.3,15393.7,329.3,14945.8,640.8,20384.3,343.0318481445313,15650.734606933594
14,309.4,14906.1,309.4,14906.1,640.8,20384.3,326.21592407226564,15278.417303466798
15,327.9,14753.2,309.4,14753.2,640.8,20384.3,327.05796203613284,15015.8086517334
16,335.0,14395.6,309.4,14395.6,640.8,20384.3,331.0289810180664,14705.7043258667
17,319.0,15018.2,309.4,14395.6,640.8,20384.3,325.0144905090332,14861.95216293335
18,338.5,14762.7,309.4,14395.6,640.8,20384.3,331.7572452545166,14812.326081466676
19,533.1,16228.4,309.4,14395.6,640.8,20384.3,432.4286226272583,15520.363040733337
20,519.9,20605.1,309.4,14395.6,640.8,20605.1,476.1643113136291,18062.731520366666
21,315.0,14589.0,309.4,14395.6,640.8,20605.1,395.58215565681456,16325.865760183333
22,307.5,18911.1,307.5,14395.6,640.8,20605.1,351.5410778284073,17618.482880091666
23,463.1,23142.9,307.5,14395.6,640.8,23142.9,407.32053891420367,20380.691440045834
24,446.9,23156.7,307.5,14395.6,640.8,23156.7,427.1102694571018,21768.695720022915
25,467.6,14861.3,307.5,14395.6,640.8,23156.7,447.3551347285509,18314.997860011455
26,298.8,13573.0,298.8,13573.0,640.8,23156.7,373.07756736427547,15943.998930005728
27,473.0,13332.4,298.8,13332.4,640.8,23156.7,423.0387836821377,14638.199465002865
28,284.8,14118.0,284.8,13332.4,640.8,23156.7,353.9193918410689,14378.099732501432
29,288.5,14156.2,284.8,13332.4,640.8,23156.7,321.20969592053444,14267.149866250717
30,306.9,14742.7,284.8,13332.4,640.8,23156.7,314.05484796026724,14504.92493312536
31,323.2,14630.7,284.8,13332.4,640.8,23156.7,318.6274239801336,14567.81246656268
32,526.9,15136.2,284.8,13332.4,640.8,23156.7,422.7637119900668,14852.00623328134
33,315.9,14846.1,284.8,13332.4,640.8,23156.7,369.3318559950334,14849.053116640669
34,486.9,16013.2,284.8,13332.4,640.8,23156.7,428.1159279975167,15431.126558320335
35,359.3,15750.4,284.8,13332.4,640.8,23156.7,393.7079639987584,15590.763279160168
36,301.8,14360.4,284.8,13332.4,640.8,23156.7,347.7539819993792,14975.581639580083
37,321.9,14681.3,284.8,13332.4,640.8,23156.7,334.8269909996896,14828.440819790041
38,352.2,14164.6,284.8,13332.4,640.8,23156.7,343.5134954998448,14496.52040989502
39,361.5,14618.1,284.8,13332.4,640.8,23156.7,352.5067477499224,14557.31020494751
40,314.3,14521.9,284.8,13332.4,640.8,23156.7,333.4033738749612,14539.605102473754
41,326.3,14172.3,284.8,13332.4,640.8,23156.7,329.8516869374806,14355.952551236876
42,302.7,14573.8,284.8,13332.4,640.8,23156.7,316.2758434687403,14464.876275618437
43,464.2,18907.9,284.8,13332.4,640.8,23156.7,390.23792173437016,16686.38813780922
44,309.6,15763.0,284.8,13332.4,640.8,23156.7,349.9189608671851,16224.69406890461
45,310.0,15370.6,284.8,13332.4,640.8,23156.7,329.95948043359255,15797.647034452304
46,311.2,15775.2,284.8,13332.4,640.8,23156.7,320.57974021679627,15786.423517226152
47,313.4,14606.3,284.8,13332.4,640.8,23156.7,316.9898701083981,15196.361758613075
48,297.5,14043.6,284.8,13332.4,640.8,23156.7,307.24493505419906,14619.980879306539
49,349.7,14835.4,284.8,13332.4,640.8,23156.7,328.4724675270995,14727.69043965327
50,472.9,18454.4,284.8,13332.4,640.8,23156.7,400.68623376354975,16591.045219826636
51,326.3,14789.1,284.8,13332.4,640.8,23156.7,363.4931168817749,15690.072609913317
52,324.9,14769.8,284.8,13332.4,640.8,23156.7,344.19655844088743,15229.936304956658
53,305.8,14340.6,284.8,13332.4,640.8,23156.7,324.9982792204437,14785.26815247833
54,334.9,14187.0,284.8,13332.4,640.8,23156.7,329.94913961022183,14486.134076239165
55,669.0,14368.5,284.8,13332.4,669.0,23156.7,499.47456980511095,14427.317038119581
56,304.3,14738.9,284.8,13332.4,669.0,23156.7,401.8872849025555,14583.108519059791
57,319.3,14800.8,284.8,13332.4,669.0,23156.7,360.5936424512778,14691.954259529895
58,333.1,15291.5,284.8,13332.4,669.0,23156.7,346.8468212256389,14991.727129764948
59,303.0,15037.6,284.8,13332.4,669.0,23156.7,324.92341061281945,15014.663564882474
60,336.6,14461.4,284.8,13332.4,669.0,23156.7,330.76170530640974,14738.031782441238
61,319.2,13973.0,284.8,13332.4,669.0,23156.7,324.98085265320486,14355.515891220619
62,324.7,13828.6,284.8,13332.4,669.0,23156.7,324.8404263266024,14092.05794561031
63,311.3,14155.9,284.8,13332.4,669.0,23156.7,318.0702131633012,14123.978972805155
64,304.0,15283.0,284.8,13332.4,669.0,23156.7,311.0351065816506,14703.489486402577
65,328.4,13586.5,284.8,13332.4,669.0,23156.7,319.7175532908253,14144.994743201289
66,307.9,14007.6,284.8,13332.4,669.0,23156.7,313.80877664541265,14076.297371600645
67,296.0,15696.7,284.8,13332.4,669.0,23156.7,304.9043883227063,14886.498685800323
68,363.4,16256.3,284.8,13332.4,669.0,23156.7,334.1521941613531,15571.39934290016
69,327.9,17033.8,284.8,13332.4,669.0,23156.7,331.02609708067655,16302.59967145008
70,334.0,17802.7,284.8,13332.4,669.0,23156.7,332.5130485403383,17052.64983572504
71,330.3,16013.2,284.8,13332.4,669.0,23156.7,331.40652427016914,16532.924917862518
72,305.7,14982.9,284.8,13332.4,669.0,23156.7,318.55326213508454,15757.91245893126
73,326.4,14966.0,284.8,13332.4,669.0,23156.7,322.47663106754226,15361.95622946563
74,320.7,16044.6,284.8,13332.4,669.0,23156.7,321.58831553377115,15703.278114732815
75,423.4,14725.6,284.8,13332.4,669.0,23156.7,372.49415776688556,15214.439057366408
76,310.1,15764.2,284.8,13332.4,669.0,23156.7,341.2970788834428,15489.319528683205
77,319.5,14282.5,284.8,13332.4,669.0,23156.7,330.39853944172137,14885.909764341603
78,319.1,14914.2,284.8,13332.4,669.0,23156.7,324.7492697208607,14900.054882170802
79,321.3,15137.8,284.8,13332.4,669.0,23156.7,323.02463486043035,15018.927441085401
80,314.3,14151.0,284.8,13332.4,669.0,23156.7,318.6623174302152,14584.9637205427
81,335.0,13576.0,284.8,13332.4,669.0,23156.7,326.83115871510756,14080.48186027135
82,358.2,13788.7,284.8,13332.4,669.0,23156.7,342.51557935755375,13934.590930135675
83,311.3,15120.7,284.8,13332.4,669.0,23156.7,326.9077896787769,14527.645465067839
84,303.9,13988.3,284.8,13332.4,669.0,23156.7,315.40389483938844,14257.972732533919
85,291.3,15139.1,284.8,13332.4,669.0,23156.7,303.3519474196942,14698.536366266959
86,307.0,13833.5,284.8,13332.4,669.0,23156.7,305.1759737098471,14266.01818313348
87,300.5,13846.8,284.8,13332.4,669.0,23156.7,302.83798685492354,14056.40909156674
88,332.5,13875.7,284.8,13332.4,669.0,23156.7,317.66899342746177,13966.05454578337
89,480.7,16481.4,284.8,13332.4,669.0,23156.7,399.1844967137309,15223.727272891687
90,381.8,14184.4,284.8,13332.4,669.0,23156.7,390.49224835686545,14704.063636445844
91,505.5,13528.2,284.8,13332.4,669.0,23156.7,447.99612417843275,14116.131818222922
92,301.7,14300.1,284.8,13332.4,669.0,23156.7,374.84806208921634,14208.11590911146
93,330.9,14507.6,284.8,13332.4,669.0,23156.7,352.87403104460816,14357.85795455573
